,name,sex,year_count,year_min,year_max,pct_sum,pct_max
204,Lila,F,74,1940,2013,1.7448824043481328,0.11107060094387436
205,Bennett,M,74,1940,2013,1.2479948530675744,0.11012750959541365
206,Josue,M,71,1940,2013,2.1780031534568596,0.10966574152286714
207,Sam,M,74,1940,2013,2.952097629461684,0.09889293416026006
208,Shana,F,73,1940,2013,1.7533510342779077,0.0978524007434173
209,Lee,F,74,1940,2013,2.633038534799497,0.0964387885176073
210,Jody,M,74,1940,2013,1.7012498318337765,0.09620493573148536
211,Israel,M,74,1940,2013,2.6216070102019886,0.09371066454652177
212,Dina,F,74,1940,2013,1.6736677559300643,0.09312709032082905
213,Leigh,F,74,1940,2013,2.3069510656630676,0.09271213829521109
214,Eliza,F,74,1940,2013,1.5864455098393329,0.09230521181829175
215,Zane,M,74,1940,2013,1.9063201247988357,0.09185307568875112
216,Marion,M,74,1940,2013,1.6560819622863223,0.0904361212914071
217,Jaime,M,74,1940,2013,3.4619214809635404,0.08911639722598938
218,Ron,M,74,1940,2013,1.887488753758565,0.08866416256440576
219,Marla,F,74,1940,2013,2.103790521949336,0.08830139527459636
220,Dena,F,74,1940,2013,1.67324959779419,0.08809579788764582
221,Jessie,M,74,1940,2013,3.6183484365803644,0.08784730102543171
222,Shauna,F,74,1940,2013,1.6390525259987256,0.08729298291524917
223,Dana,M,74,1940,2013,2.6485303644861546,0.08685758256545495
224,Simon,M,74,1940,2013,2.2315968075703725,0.08506695549534136
225,Raquel,F,74,1940,2013,2.6504445870932503,0.08391982824751716
226,Rafael,M,74,1940,2013,3.64973652303314,0.08284354120077327
227,Johnnie,F,74,1940,2013,1.3169154656810065,0.082210877305352
228,Zion,M,40,1973,2013,0.9903481032677085,0.0808991021482078
229,Elliot,M,74,1940,2013,1.5494533640230028,0.07940294966462139
230,Jaden,F,32,1982,2013,0.7124109230163624,0.07922510614027446
231,Elliott,M,74,1940,2013,1.6404652148478411,0.07828083530193158
232,Toby,M,74,1940,2013,1.707437489273986,0.07624156605681949
